fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Antonio Rodrigo Nogueira,34,10,1,1.95,42.0,2.4,55%,1.3,29%,36%,2.4,5,6,1,2,0.29,0.36,0.4545454132231443,0.199999960000008,0.399999920000016,0.78,0.1856
Hector Lombard,34,10,1,3.02,46.0,3.35,53%,1.69,48%,77%,0.5,3,8,2,0,0.48,0.77,0.2727272479338866,0.6666664444445185,0.0,0.8753623188405797,0.11039999999999998
Keita Nakamura,34,10,2,2.23,36.0,3.2,58%,1.65,48%,63%,0.3,4,7,0,2,0.48,0.63,0.3636363305785154,0.0,0.49999987500003124,0.6757575757575757,0.17759999999999998
Pat Healy,34,23,0,2.57,36.0,2.57,50%,3.08,37%,55%,1.1,0,5,0,0,0.37,0.55,0.0,0.0,0.0,0.9625468164794008,0.16649999999999998
Trevor Prangley,34,11,2,2.59,60.0,2.02,48%,3.38,55%,74%,1.0,2,2,0,1,0.55,0.74,0.49999987500003124,0.0,0.499999750000125,1.221698113207547,0.14300000000000002
Will Chope,34,13,0,4.43,27.0,9.93,46%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.44167497507477566,0.0
Naoyuki Kotani,34,14,7,1.02,31.0,2.89,50%,0.83,16%,46%,0.8,0,5,0,0,0.16,0.46,0.0,0.0,0.0,0.3411371237458194,0.0864
Renan Barao,34,9,0,3.78,36.0,3.9,57%,1.49,41%,91%,0.5,9,8,2,3,0.41,0.91,0.5294117335640156,0.22222219753086697,0.33333329629630043,0.945,0.03689999999999999
Ron Faircloth,33,20,0,0.39,40.0,8.9,42%,0.0,0%,0%,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.043333333333333335,0.0
Gleison Tibau,33,14,0,1.95,31.0,2.51,63%,4.08,53%,92%,0.8,16,12,1,4,0.53,0.92,0.5714285510204089,0.06249999609375024,0.24999998437500096,0.7471264367816092,0.04239999999999998
Stefan Struve,33,13,0,3.12,47.0,4.04,46%,0.56,46%,55%,1.7,13,11,5,6,0.46,0.55,0.5416666440972231,0.3846153550295881,0.4615384260355057,0.7536231884057972,0.207
Chad Reiner,33,18,0,0.53,20.0,1.97,46%,0.99,33%,25%,2.0,0,2,0,0,0.33,0.25,0.0,0.0,0.0,0.2560386473429952,0.2475
Caol Uno,33,19,5,1.91,49.0,1.9,50%,1.95,31%,37%,0.5,3,5,1,0,0.31,0.37,0.3749999531250059,0.33333322222225925,0.0,0.955,0.1953
Joe Stevenson,33,16,0,2.05,44.0,2.44,60%,2.75,44%,39%,2.2,8,8,1,3,0.44,0.39,0.4999999687500019,0.12499998437500197,0.3749999531250059,0.8070866141732282,0.26839999999999997
Sam Alvey,33,18,1,3.28,44.0,3.63,52%,0.06,14%,82%,0.1,10,13,5,1,0.14,0.82,0.4347825897920613,0.499999950000005,0.09999999000000101,0.8793565683646112,0.02520000000000001
Jason DeLucia,33,21,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,1,2,0,1,0.0,0.0,0.33333322222225925,0.0,0.9999990000010001,0.0,0.0
Tim Means,33,17,1,5.04,49.0,3.65,60%,1.14,40%,64%,0.2,15,14,6,2,0.4,0.64,0.5172413614744358,0.39999997333333515,0.13333332444444504,1.344,0.144
Glover Teixeira,33,9,0,3.73,49.0,4.43,51%,2.11,33%,60%,0.9,16,7,5,7,0.33,0.6,0.6956521436672981,0.3124999804687512,0.4374999726562517,0.8233995584988963,0.132
Evan Tanner,32,8,0,3.05,59.0,2.64,56%,2.55,43%,25%,1.3,11,6,4,4,0.43,0.25,0.6470587854671302,0.3636363305785154,0.3636363305785154,1.1131386861313868,0.3225
Xavier Foupa-Pokam,32,22,0,1.47,43.0,2.5,49%,0.0,0%,16%,0.0,0,2,0,0,0.0,0.16,0.0,0.0,0.0,0.5653846153846154,0.0
Dan Henderson,32,15,0,2.44,47.0,2.7,51%,1.52,52%,57%,0.3,9,9,4,0,0.52,0.57,0.49999997222222375,0.44444439506173394,0.0,0.8714285714285713,0.22360000000000002
Maxim Grishin,32,10,2,3.26,52.0,2.27,58%,0.21,16%,66%,0.0,2,3,1,0,0.16,0.66,0.399999920000016,0.499999750000125,0.0,1.3755274261603374,0.0544
Rafael Dos Anjos,32,17,0,3.48,47.0,3.23,60%,1.95,35%,54%,0.6,21,15,4,5,0.35,0.54,0.5833333171296301,0.19047618140589612,0.23809522675737013,1.045045045045045,0.16099999999999998
Carlos Condit,32,14,0,3.66,39.0,2.67,55%,0.59,46%,38%,1.0,9,10,4,0,0.46,0.38,0.47368418559556913,0.44444439506173394,0.0,1.3212996389891698,0.2852
Jiri Prochazka,32,5,1,5.69,55.0,5.6,45%,0.51,60%,68%,0.2,6,2,5,1,0.6,0.68,0.7499999062500118,0.8333331944444675,0.16666663888889352,0.9982456140350879,0.19199999999999998
Chris Curtis,32,12,0,5.98,50.0,6.19,54%,0.0,0%,82%,0.0,6,4,3,0,0.0,0.82,0.599999940000006,0.49999991666668053,0.0,0.9507154213036566,0.0
Jose Aldo,32,10,0,3.65,46.0,3.81,60%,0.47,51%,92%,0.1,14,9,4,0,0.51,0.92,0.6086956257088858,0.2857142653061239,0.0,0.9335038363171355,0.04079999999999998
Melvin Guillard,32,18,2,2.96,40.0,1.85,66%,1.3,63%,61%,0.2,12,9,7,0,0.63,0.61,0.5714285442176883,0.5833332847222263,0.0,1.5179487179487179,0.2457
Michel Pereira,32,14,0,4.46,51.0,4.4,51%,1.21,56%,75%,0.7,10,5,2,3,0.56,0.75,0.6666666222222252,0.19999998000000202,0.299999970000003,0.991111111111111,0.14
Carlo Prater,31,18,1,2.03,47.0,4.07,35%,0.43,9%,57%,1.7,1,2,0,0,0.09,0.57,0.33333322222225925,0.0,0.0,0.48681055155875297,0.038700000000000005
Chris Lytle,31,18,5,3.76,45.0,3.03,58%,0.7,55%,55%,2.4,10,10,1,6,0.55,0.55,0.4999999750000012,0.09999999000000101,0.599999940000006,1.2012779552715656,0.2475
Jesse Taylor,31,15,0,1.94,65.0,0.55,38%,7.28,50%,100%,3.1,1,1,0,1,0.5,1.0,0.499999750000125,0.0,0.9999990000010001,2.9846153846153842,0.0
Neil Magny,31,15,0,3.4,46.0,2.44,51%,2.17,39%,55%,0.3,24,13,7,3,0.39,0.55,0.6486486311176046,0.2916666545138894,0.12499999479166687,1.3385826771653542,0.1755
Julian Erosa,31,13,0,6.21,48.0,6.27,48%,1.78,43%,61%,0.7,9,8,2,4,0.43,0.61,0.5294117335640156,0.22222219753086697,0.44444439506173394,0.9748822605965465,0.16770000000000002
Diego Sanchez,31,13,0,2.69,37.0,3.02,56%,1.51,24%,46%,0.8,19,13,6,0,0.24,0.46,0.5937499814453131,0.31578945706371275,0.0,0.8621794871794871,0.1296
John Lineker,31,9,0,5.36,40.0,4.27,56%,0.56,58%,67%,0.6,12,4,6,1,0.58,0.67,0.7499999531250029,0.4999999583333368,0.08333332638888948,1.2265446224256296,0.19139999999999996
Jordan Mein,31,12,0,3.35,44.0,2.55,69%,1.56,58%,66%,0.2,5,4,2,0,0.58,0.66,0.5555554938271674,0.399999920000016,0.0,1.2641509433962266,0.19719999999999996
Jake Ellenberger,31,15,0,2.47,39.0,2.83,60%,2.04,47%,86%,0.4,10,11,5,1,0.47,0.86,0.47619045351474026,0.499999950000005,0.09999999000000101,0.8430034129692833,0.0658
Nikita Krylov,31,11,0,4.36,54.0,2.59,47%,2.05,37%,53%,1.2,12,9,5,5,0.37,0.53,0.5714285442176883,0.41666663194444736,0.41666663194444736,1.6208178438661711,0.1739
Jake Shields,31,9,1,2.45,36.0,1.8,56%,2.83,29%,35%,1.2,4,3,0,0,0.29,0.35,0.57142848979593,0.0,0.0,1.2894736842105263,0.1885
