Nome,Height,Altura_cm,Weight,Reach,Stance
Rory Markham,"6' 0""",182.9,170 lbs.,71.0,Orthodox
Adrian Yanez,"5' 7""",170.2,135 lbs.,70.0,Orthodox
Jack Shore,"5' 8""",172.7,145 lbs.,71.0,Orthodox
Dennis Bermudez,"5' 6""",167.6,155 lbs.,66.0,Orthodox
Edson Berto,"5' 6""",167.6,155 lbs.,71.55387673956263,Orthodox
Westin Wilson,"6' 1""",185.4,145 lbs.,73.0,Southpaw
Brandon Royval,"5' 9""",175.3,125 lbs.,68.0,Southpaw
Patricky Freire,"5' 7""",170.2,155 lbs.,71.0,
Kevin Vallejos,"5' 7""",170.2,145 lbs.,68.0,Switch
Brendson Ribeiro,"6' 3""",190.5,205 lbs.,81.0,Orthodox
Shi Ming,"5' 2""",157.5,115 lbs.,60.0,Orthodox
Eryk Anders,"6' 1""",185.4,185 lbs.,75.0,Southpaw
Johil de Oliveira,"5' 6""",167.6,170 lbs.,71.55387673956263,Orthodox
Carl Deaton,"5' 7""",170.2,155 lbs.,69.0,Orthodox
Cole Escovedo,"5' 7""",170.2,135 lbs.,72.0,Orthodox
Phil Davis,"6' 2""",188.0,205 lbs.,79.0,Orthodox
Marc-Andre Barriault,"6' 1""",185.4,185 lbs.,74.0,Orthodox
Chris Padilla,"5' 9""",175.3,155 lbs.,74.0,Orthodox
Joey Beltran,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Josh Koscheck,"5' 10""",177.8,170 lbs.,73.0,Orthodox
Waldo Cortes Acosta,"6' 4""",193.0,260 lbs.,78.0,Orthodox
Hector Urbina,"5' 11""",180.3,170 lbs.,73.0,Orthodox
Ian Machado Garry,"6' 3""",190.5,170 lbs.,74.0,Orthodox
George Sullivan,"6' 0""",182.9,170 lbs.,73.0,Orthodox
Joanne Wood,"5' 6""",167.6,125 lbs.,65.0,Orthodox
Mario Bautista,"5' 9""",175.3,135 lbs.,69.0,Switch
Alejandro Flores,"5' 10""",177.8,145 lbs.,73.0,Orthodox
Jafel Filho,"5' 7""",170.2,125 lbs.,68.0,Orthodox
Tyrell Fortune,,,259 lbs.,71.55387673956263,
Gabriel Miranda,"5' 11""",180.3,145 lbs.,71.0,Orthodox
Paul Craig,"6' 3""",190.5,205 lbs.,76.0,Orthodox
Nassourdine Imavov,"6' 3""",190.5,185 lbs.,75.0,Orthodox
Jimi Manuwa,"6' 1""",185.4,205 lbs.,79.0,Orthodox
Andre Ewell,"5' 8""",172.7,145 lbs.,75.0,Southpaw
Antonio Monteiro,"5' 7""",170.2,145 lbs.,70.0,Orthodox
JC Cottrell,"5' 9""",175.3,155 lbs.,71.55387673956263,Orthodox
Jimmy Flick,"5' 7""",170.2,125 lbs.,68.0,Orthodox
Branden Lee Hinkle,"6' 3""",190.5,235 lbs.,71.55387673956263,Orthodox
Enrique Barzola,"5' 7""",170.2,145 lbs.,70.0,Orthodox
Jean Silva,"5' 7""",170.2,145 lbs.,69.0,Orthodox
Marcio Barbosa,"5' 6""",167.6,145 lbs.,70.0,Orthodox
Daniel Barez,"5' 6""",167.6,125 lbs.,66.0,Orthodox
Gasan Umalatov,"5' 11""",180.3,170 lbs.,71.0,Orthodox
Colby Covington,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Paul Felder,"5' 11""",180.3,155 lbs.,70.0,Orthodox
Muhsin Corbbrey,"5' 10""",177.8,155 lbs.,71.55387673956263,Orthodox
Tomoya Miyashita,"5' 7""",170.2,139 lbs.,71.55387673956263,Southpaw
Austin Hubbard,"5' 10""",177.8,155 lbs.,71.0,Orthodox
Ariane da Silva,"5' 6""",167.6,125 lbs.,67.0,Orthodox
Kyle Daukaus,"6' 2""",188.0,185 lbs.,76.0,Southpaw
Oleg Taktarov,"6' 0""",182.9,210 lbs.,71.55387673956263,Orthodox
Ronny Markes,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Curtis Millender,"6' 2""",188.0,170 lbs.,76.0,Orthodox
Marcin Prachnio,"6' 3""",190.5,205 lbs.,73.0,Orthodox
David Baron,"5' 6""",167.6,155 lbs.,71.55387673956263,Switch
Tagir Ulanbekov,"5' 7""",170.2,125 lbs.,70.0,Southpaw
Ignacio Bahamondes,"6' 3""",190.5,155 lbs.,75.0,Orthodox
Bazigit Atajev,"6' 1""",185.4,230 lbs.,71.55387673956263,Orthodox
Luciano Azevedo,"6' 3""",190.5,161 lbs.,71.55387673956263,Orthodox
Pannie Kianzad,"5' 7""",170.2,135 lbs.,66.0,Orthodox
David Zawada,"6' 0""",182.9,170 lbs.,75.0,Orthodox
Alatengheili,"5' 5""",165.1,135 lbs.,66.0,Orthodox
