Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Alex Huddleston,6,2,0,2.47,42.0,2.59,67%,0.0,0%,0%,0.9
Nick Fiore,6,2,0,2.83,46.0,7.93,42%,2.5,45%,71%,0.0
Bobby Flynn,6,4,0,0.38,25.0,0.77,0%,0.0,0%,0%,0.0
Mike Moreno,6,5,0,1.27,51.0,1.07,58%,0.0,0%,44%,0.0
Sarah Moras,6,8,0,2.28,34.0,3.58,50%,0.67,21%,33%,0.8
Dustin West,6,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Karl Reed,6,1,0,2.04,44.0,3.84,38%,1.06,22%,53%,0.0
Gaston Reyno,6,2,0,7.79,62.0,3.9,44%,0.0,0%,0%,11.7
Harry Moskowitz,6,12,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Santo Curatolo,6,2,0,1.4,39.0,6.07,34%,2.0,33%,100%,0.0
Luke Cummo,6,6,0,1.74,43.0,1.5,59%,0.89,55%,42%,1.4
Emilio Cuellar,6,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Deni Daffa,6,2,0,3.47,38.0,6.45,38%,0.0,0%,0%,0.0
Shaheen Santana,6,1,0,0.82,42.0,1.65,40%,0.0,0%,0%,2.8
Kit Cope,6,7,0,1.18,52.0,2.12,35%,0.0,0%,50%,3.5
Randy Costa,6,4,0,6.53,46.0,7.58,58%,0.0,0%,50%,0.0
Chris Bostick,6,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eperaim Ginting,6,1,0,0.0,0.0,0.0,100%,15.52,100%,0%,0.0
Max Gimenis,6,2,0,3.21,42.0,9.64,47%,0.0,0%,0%,0.0
Byron Bloodworth,6,3,0,1.82,28.0,5.18,50%,0.0,0%,0%,0.0
Bret Bergmark,6,1,1,2.78,52.0,2.78,37%,4.17,100%,50%,4.2
Dave Beneteau,6,5,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Talita Bernardo,6,4,0,3.12,42.0,4.04,55%,1.62,22%,28%,0.5
Olivier Murad,6,0,0,2.6,36.0,2.2,61%,1.0,100%,55%,0.0
Ashlee Evans-Smith,6,6,0,4.03,34.0,4.59,53%,0.95,22%,50%,0.0
Zarah Fairn,6,6,0,4.55,31.0,7.4,45%,0.0,0%,60%,0.0
Bryan Humes,6,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mark Hughes,6,2,0,0.9,47.0,0.4,42%,3.0,50%,0%,4.5
Josh Shockman,6,3,0,0.87,32.0,0.87,58%,0.0,0%,23%,0.0
Junior Tafa,6,5,0,3.41,51.0,2.55,51%,0.0,0%,70%,0.0
Luke Fernandez,6,1,0,8.14,58.0,10.17,36%,0.0,0%,0%,0.0
Matt Ricehouse,6,1,0,3.7,44.0,4.8,47%,1.0,22%,81%,0.0
Jose Montanha,6,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Leonardo Morales,6,2,0,2.05,47.0,2.05,58%,0.0,0%,62%,0.0
Sofia Montenegro,6,2,0,4.27,40.0,5.67,48%,1.0,25%,100%,0.0
Fiona Muxlow,6,3,0,1.44,27.0,5.45,34%,0.0,0%,0%,0.0
Max Mustaki,6,3,0,8.2,50.0,13.0,45%,0.0,0%,0%,0.0
Yura Naito,6,1,0,1.22,44.0,5.33,28%,1.67,9%,0%,0.0
Ricky Steele,6,0,0,4.07,70.0,2.93,50%,0.0,0%,91%,0.0
Marcelo Golm,6,3,0,4.27,58.0,4.3,45%,0.45,50%,87%,0.5
Hannah Goldy,6,4,0,5.19,47.0,4.67,50%,0.66,12%,54%,0.2
Kevin Haley,6,4,0,0.87,59.0,0.87,64%,3.0,100%,0%,2.0
Yazan Hajeh,6,1,0,1.54,25.0,17.44,44%,0.0,0%,100%,0.0
Theo Haig,6,1,0,0.0,0.0,28.33,0%,0.0,0%,0%,0.0
James Hammortree,6,3,0,1.93,30.0,4.13,44%,2.0,50%,100%,1.0
Nate Smith,6,1,0,1.28,38.0,2.04,35%,0.0,0%,33%,2.3
Andrei Kopylov,6,11,0,0.33,66.0,4.31,40%,0.0,0%,0%,0.0
Maiju Kujala,6,3,0,2.5,40.0,5.5,36%,0.0,0%,50%,0.0
Ben Lagman,6,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Roberto Traven,6,4,1,0.92,50.0,2.77,57%,0.0,0%,0%,0.0
Jon Murphy,6,4,0,3.93,66.0,8.85,43%,0.0,0%,0%,0.0
Magno Dias,6,2,0,2.44,45.0,7.32,50%,1.41,33%,0%,1.4
Syuri Kondo,6,3,0,5.4,44.0,7.22,58%,0.0,0%,83%,0.3
Thomas Diagne,6,6,1,4.53,48.0,4.53,63%,2.0,100%,66%,0.0
John Devine,6,4,0,1.52,18.0,2.28,57%,0.0,0%,0%,0.0
Booker DeRousse,6,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Waylon Kennell,6,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Adam Khaliev,6,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Stefan Klever,6,1,0,0.82,50.0,3.84,58%,0.0,0%,0%,0.0
Nick Klein,6,3,0,2.51,56.0,3.41,39%,5.79,35%,66%,1.9
Yorgan De Castro,6,3,0,2.46,43.0,3.85,53%,0.0,0%,77%,0.0
Rafael Del Real,6,20,0,5.58,40.0,0.0,0%,20.93,100%,100%,0.0
Gloria de Paula,6,5,0,4.89,53.0,3.77,66%,0.74,37%,65%,0.5
Jair De Oliveira,6,1,0,3.98,60.0,3.45,69%,0.0,0%,0%,0.0
Taiei Kin,6,3,0,2.71,60.0,1.33,52%,0.0,0%,55%,0.0
Steven Koslow,6,1,0,0.77,37.0,3.73,40%,5.28,55%,0%,1.1
Katsuhiko Nagata,6,7,3,1.05,19.0,1.5,63%,0.98,28%,28%,0.0
Dan O'Connor,6,6,0,4.0,56.0,5.1,54%,0.0,0%,100%,0.0
Ryan Bastianelli,6,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Joe Neal,6,2,0,1.87,19.0,3.8,66%,0.0,0%,0%,0.0
Tafon Nchukwi,6,4,0,5.57,52.0,4.11,54%,0.76,57%,64%,0.0
Nghiem Van Y,6,2,0,3.84,54.0,1.83,71%,0.0,0%,90%,0.0
Lissette Neri,6,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Khomkrit Niimi,6,10,0,0.0,0.0,5.73,44%,0.0,0%,0%,0.0
Oluwale Bamgbose,6,4,0,2.45,48.0,2.7,55%,0.94,33%,37%,0.0
Shonte Barnes,6,2,1,2.32,38.0,1.55,67%,0.0,0%,60%,0.0
Makoto Takimoto,6,5,0,1.37,39.0,1.71,55%,1.48,50%,25%,1.1
Neal Ewing,6,0,0,2.27,60.0,1.93,48%,5.0,62%,0%,0.0
Yusaku Kinoshita,6,3,0,4.65,50.0,5.12,51%,0.0,0%,50%,0.0
Ernesta Kareckaite,6,2,1,7.28,42.0,6.47,49%,0.75,60%,81%,0.0
Ryan Keenan,6,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Canaan Kawaihae,6,2,0,2.83,51.0,4.59,36%,0.0,0%,100%,0.0
Lumumba Sayers,6,5,0,2.54,41.0,2.37,48%,7.63,75%,0%,2.5
Carli Judice,6,2,0,9.32,50.0,6.62,57%,0.52,25%,80%,0.0
Daichi Kamiya,6,1,0,1.69,53.0,4.5,35%,5.07,27%,100%,0.0
Antonio Dos Santos,6,4,0,5.4,51.0,3.94,43%,0.0,0%,100%,0.0
Matthieu Duclos,6,3,0,3.93,37.0,6.81,46%,0.0,0%,100%,0.0
Yuneisy Duben,6,1,0,13.53,48.0,10.75,53%,0.0,0%,0%,0.0
Hugo Duarte,6,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Josh Epps,6,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jodie Esquibel,6,6,0,4.1,31.0,7.37,52%,0.75,21%,83%,0.0
Chris Indich,6,4,0,1.31,30.0,4.32,43%,0.75,50%,50%,1.5
Richard Jacobi,6,1,1,0.88,44.0,3.94,51%,3.28,100%,100%,0.0
Talita Nogueira,6,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eric Bedard,6,7,0,6.37,35.0,8.54,52%,0.0,0%,0%,0.0
Hugh Pulley,6,3,0,4.47,63.0,3.27,57%,4.0,66%,69%,0.0
Cole Province,6,2,0,1.47,44.0,2.72,43%,2.4,50%,83%,1.0
Istela Nunes,6,6,0,4.28,47.0,4.07,59%,0.0,0%,47%,0.0
Brendan O'Reilly,6,3,0,1.9,47.0,2.77,39%,2.22,43%,36%,0.6
Jordan Bailey,6,3,0,1.74,40.0,0.29,0%,4.35,100%,0%,4.3
Izabela Badurek,6,3,0,3.74,71.0,4.9,32%,1.75,12%,100%,0.0
Justin Gonzales,6,0,0,6.67,80.0,0.87,43%,14.0,73%,100%,0.0
Edson Gomez,6,2,0,2.66,32.0,8.78,45%,0.0,0%,0%,0.0
Joey Gomez,6,2,0,2.44,28.0,4.46,55%,0.62,100%,50%,0.0
Tresean Gore,6,4,0,2.76,42.0,7.48,40%,1.83,75%,88%,0.9
Pearl Gonzalez,6,3,0,2.23,37.0,4.07,57%,1.04,11%,0%,0.5
Andre Gusmao,6,3,0,2.79,43.0,3.28,60%,0.0,0%,60%,0.0
Daniel Spitz,6,3,0,2.6,35.0,5.3,46%,0.74,66%,0%,0.0
Jocelyn Jones-Lybarger,6,4,0,2.96,31.0,4.83,56%,0.34,25%,81%,0.0
Jacobi Jones,6,2,0,5.87,46.0,7.6,48%,0.0,0%,33%,0.0
David Terrell,6,2,0,2.34,63.0,2.71,37%,5.54,50%,0%,5.5
Alexis Dufresne,6,3,0,1.33,27.0,3.33,60%,1.5,50%,50%,0.0
Adin Duenas,6,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Shanelle Dyer,6,1,0,7.67,41.0,7.8,44%,0.0,0%,0%,0.0
Helio Dipp,6,3,0,0.6,25.0,1.8,62%,0.0,0%,50%,0.0
Michael Graves,6,0,1,1.25,54.0,1.47,58%,4.8,52%,66%,0.4
Daichi Abe,6,2,0,3.8,33.0,4.49,56%,0.33,50%,0%,0.0
Mostapha Al-Turk,6,6,0,1.36,19.0,3.61,53%,0.0,0%,0%,0.0
Rostem Akman,6,2,0,1.8,25.0,3.97,57%,1.0,40%,87%,0.0
Ashiek Ajim,6,2,0,5.0,40.0,11.25,25%,0.0,0%,0%,0.0
Gilbert Aldana,6,2,0,2.91,54.0,6.26,26%,2.57,40%,33%,0.0
Elizabeth Phillips,6,6,0,2.6,33.0,3.07,58%,0.75,25%,53%,0.2
Mark Eddiva,6,3,0,3.37,45.0,2.98,54%,1.45,22%,63%,0.0
Saul Elizondo,6,8,0,2.07,30.0,4.93,48%,2.0,100%,66%,1.0
Jon Olav Einemo,6,3,0,2.15,52.0,3.05,52%,1.73,55%,43%,0.0
Kasey Tanner,6,1,0,6.6,50.0,6.67,63%,2.0,33%,0%,0.0
Gigo Jara,6,9,0,2.26,57.0,2.71,51%,0.0,0%,66%,0.0
Raquel Pa'aluhi,6,5,0,1.71,56.0,3.42,46%,0.0,0%,18%,0.0
Ren Ozaki,6,1,2,1.2,35.0,1.07,55%,0.0,0%,36%,0.0
Sasha Palatnikov,6,4,0,6.69,53.0,5.44,52%,0.72,100%,70%,0.0
Ruel Panales,6,2,0,2.53,51.0,5.6,46%,1.0,20%,50%,0.0
John Dave Almanza,6,1,0,1.92,41.0,5.75,27%,0.0,0%,0%,0.0
Kai Yoshida,6,2,0,4.32,50.0,4.96,54%,0.0,0%,100%,0.0
Matej Penaz,6,1,0,1.28,33.0,2.55,33%,0.0,0%,0%,0.0
Alice Pereira,6,1,0,2.47,31.0,3.0,72%,0.0,0%,100%,0.0
YoungJae Song,6,1,1,3.33,58.0,2.33,55%,0.0,0%,45%,0.0
Vik Grujic,6,6,0,2.24,48.0,3.39,41%,1.18,33%,26%,0.4
John Albert,6,5,0,3.05,49.0,2.82,35%,0.0,0%,50%,6.1
Russell Patrick,6,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jhonoven Pati,6,4,0,2.88,53.0,6.13,33%,2.7,100%,0%,0.0
Guilherme Pat,6,0,0,4.27,64.0,2.2,61%,0.0,0%,0%,0.0
Liam Anderson,6,3,0,3.0,52.0,6.53,31%,1.0,20%,50%,0.0
Hashem Arkhagha,6,1,0,1.84,44.0,8.97,43%,0.0,0%,50%,0.0
Ralph Gracie,6,1,0,0.86,37.0,1.72,31%,0.0,0%,25%,4.0
Alex Gorgees,6,1,0,0.67,32.0,2.27,38%,0.0,0%,54%,0.0
Neiman Gracie,6,0,0,0.77,100.0,0.38,75%,5.77,100%,0%,5.8
Rodrigo Gracie,6,2,1,1.34,51.0,0.86,46%,1.49,50%,75%,0.4
Daniel Allen,5,0,0,7.6,51.0,5.87,53%,2.0,66%,100%,0.0
Drew Pendleton,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mohamed Ado,5,1,0,1.66,83.0,0.33,75%,4.97,50%,50%,5.0
Herdem Alacabek,5,1,0,3.84,65.0,6.66,23%,2.06,50%,42%,0.0
Irina Alekseeva,5,4,0,3.42,38.0,5.02,45%,0.38,20%,50%,0.4
Brando Pericic,5,1,0,15.13,59.0,1.57,66%,0.0,0%,100%,0.0
Rafael Pergentino,5,1,0,0.0,0.0,32.0,0%,0.0,0%,0%,0.0
Kevin Engel,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chan-Mi Jeon,5,2,0,6.23,31.0,7.77,55%,0.0,0%,0%,0.0
Aaron Ely,5,2,0,0.82,15.0,0.66,69%,2.47,100%,50%,4.9
Elisha Ellison,5,2,0,1.57,33.0,15.13,40%,0.0,0%,0%,0.0
Bobby Escalante,5,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Shawn Teed,5,2,0,1.4,42.0,13.31,21%,0.0,0%,0%,0.0
Daniel Jolly,5,3,0,1.32,46.0,3.39,44%,2.83,33%,50%,0.0
Brian Johnston,5,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Taylor Johnson,5,1,0,5.09,60.0,1.13,33%,8.49,100%,100%,0.0
Jeff Joslin,5,3,0,2.17,39.0,1.57,65%,0.5,33%,64%,0.5
Dwight Joseph,5,0,0,2.6,52.0,2.87,55%,1.0,20%,20%,1.0
Taneisha Tennant,5,1,0,5.67,55.0,3.4,71%,0.0,0%,100%,0.0
Mike Dolce,5,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Bailey Schoenfelder,5,1,0,0.0,0.0,9.86,53%,0.0,0%,0%,0.0
Dustin Joynson,5,0,0,3.28,53.0,5.63,47%,0.0,0%,0%,0.0
Bharat Kandare,5,3,0,0.7,10.0,1.88,72%,0.0,0%,0%,0.0
Joel Thomas,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chel Erwin-Davis,5,1,0,4.06,54.0,1.13,61%,4.25,100%,50%,1.4
Won Jin Eoh,5,5,1,3.74,44.0,3.58,46%,0.0,0%,50%,0.0
Priya Sharma,5,2,0,1.33,16.0,3.2,40%,0.0,0%,55%,0.0
Jason Tan,5,3,0,0.69,29.0,7.37,18%,0.0,0%,0%,0.0
Yurij Kiseliov,5,4,0,4.88,87.0,0.0,0%,0.0,0%,50%,0.0
Mike King,5,1,0,4.44,58.0,1.29,72%,1.75,25%,40%,3.5
Pat Schilling,5,2,0,1.87,26.0,8.24,52%,0.0,0%,0%,0.0
Antonio Schembri,5,5,0,0.72,26.0,2.12,55%,1.31,40%,0%,0.4
Brandon Sayles,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Nadia Kassem,5,2,0,3.13,41.0,4.48,48%,0.46,33%,40%,2.8
Kyle Dietz,5,2,0,1.82,45.0,2.08,62%,0.0,0%,0%,0.0
Anthony Torres,5,3,0,3.54,48.0,7.52,45%,0.0,0%,100%,2.2
Robelis Despaigne,5,2,0,2.11,59.0,2.54,46%,0.0,0%,50%,0.0
Shogo Sato,5,1,0,2.14,25.0,25.71,29%,0.0,0%,0%,0.0
John Kelly,5,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Slim Trabelsi,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chris de la Rocha,5,3,0,4.08,45.0,6.37,43%,2.02,30%,33%,1.0
Isabela de Padua,5,2,0,1.0,35.0,2.07,50%,2.0,66%,0%,1.0
Alex Torres,5,4,0,2.47,37.0,2.73,69%,2.0,22%,50%,0.0
Marques Daniels,5,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jorgen Kruth,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Rene Kronvold,5,1,0,0.82,100.0,2.47,60%,0.0,0%,66%,4.1
Chris Sanford,5,1,0,0.23,50.0,3.22,17%,0.0,0%,0%,3.5
Lionel Lanham,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Aaron Lanfranco,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Tina Lahdemaki,5,1,0,1.93,20.0,4.67,57%,0.0,0%,16%,0.0
Henrique Da Silva Lopes,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chad Corvin,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jeremy Umphries,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Christian Uflacker,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Dylan Salvador,5,2,0,4.34,37.0,11.57,46%,0.0,0%,0%,0.0
Kevin Ferguson,5,2,0,2.3,50.0,3.41,38%,3.1,72%,36%,1.2
Bentley Syler,5,1,0,1.3,18.0,1.73,79%,0.0,0%,75%,0.0
Brandon Holmes,5,1,0,4.72,45.0,8.76,50%,0.0,0%,50%,0.0
Xavier Siller,5,5,0,1.02,36.0,1.53,57%,3.83,100%,0%,0.0
Jesse Finney,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mal Foki,5,5,0,2.86,14.0,14.29,54%,0.0,0%,0%,0.0
AJ Fonseca,5,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Matt Foki,5,4,0,0.0,0.0,3.37,56%,0.0,0%,0%,0.0
Bob Cook,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Marcos Conrado Jr.,5,1,0,1.6,34.0,9.69,35%,1.84,14%,0%,0.0
Gabriel Salinas-Jones,5,2,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Brock Lesnar,5,3,0,3.53,72.0,2.11,50%,3.9,55%,60%,0.5
Logan Urban,5,1,0,2.55,66.0,16.6,27%,0.0,0%,0%,0.0
Shannon Clark,5,1,0,11.51,58.0,20.55,35%,0.0,0%,0%,0.0
Andrew Valladerez,5,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Leah Letson,5,3,0,3.06,41.0,3.84,52%,0.51,50%,76%,0.0
Kaushik Saikumar,5,1,0,0.81,28.0,5.35,41%,0.0,0%,33%,1.2
John Lober,5,9,4,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Paula Luna,5,3,0,0.65,50.0,6.2,17%,0.0,0%,0%,0.0
Rob MacDonald,5,4,0,1.8,50.0,2.04,46%,7.19,80%,80%,5.4
Stevie Lynch,5,2,0,2.47,25.0,7.06,41%,0.0,0%,0%,0.0
Xavier Franklin,5,1,0,3.07,33.0,5.27,50%,0.0,0%,100%,0.0
Janaina Silva,5,1,0,0.0,0.0,1.5,62%,0.0,0%,0%,0.0
Isaiah Hill,5,7,1,4.84,50.0,0.97,80%,0.0,0%,66%,14.5
Ryan Madigan,5,3,0,0.0,0.0,3.35,47%,0.0,0%,0%,0.0
Alex Chambers,5,5,0,2.97,54.0,5.1,50%,2.31,41%,53%,1.0
Jared Chaffee,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Isis Verbeek,5,2,0,3.13,43.0,3.53,53%,0.0,0%,66%,0.0
Travis Calanoc,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Armando Villarreal,5,2,0,3.23,55.0,4.3,52%,3.23,25%,0%,0.0
CJ Marsh,5,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Max Rohskopf,5,1,0,1.7,31.0,5.8,42%,3.0,33%,0%,1.5
Pete Rodriguez,5,2,0,9.28,43.0,12.83,42%,0.0,0%,100%,0.0
Claudio Mattos,5,4,0,0.0,0.0,3.53,0%,0.0,0%,0%,0.0
Mark Vorgeas,5,3,1,3.87,32.0,4.19,51%,0.0,0%,50%,0.8
Sean Holden,5,2,0,2.4,59.0,0.6,59%,5.0,83%,0%,2.0
Noe Hernandez,5,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jesse Strader,5,3,0,5.03,51.0,5.28,47%,3.87,57%,100%,0.0
Dave Galera,5,1,0,1.67,69.0,0.53,33%,0.0,0%,14%,2.0
Brandon Gaines,5,21,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Francisco Bueno,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
George Bush,5,2,0,6.35,64.0,2.31,55%,17.31,66%,0%,0.0
Mikey Burnett,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Michael Byrnes,5,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eduardo Bustillos,5,3,0,2.61,59.0,6.22,35%,0.0,0%,100%,0.0
Nick Bustamante,5,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Andre Galvao,5,2,0,2.34,52.0,1.56,58%,2.02,27%,0%,2.8
Darrel Gholar,5,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chris Hawk,5,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jose Henrique,5,1,0,3.45,43.0,5.79,38%,0.0,0%,0%,0.0
Dimitiri Wanderley,5,2,0,0.92,25.0,4.31,30%,1.16,20%,0%,0.0
Adam Meredith,5,3,0,2.63,50.0,2.11,55%,7.89,100%,100%,7.9
David Roberts,5,8,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Theo Rlayang,5,1,0,5.93,48.0,8.4,40%,2.0,40%,0%,0.0
James Wallace,5,2,0,0.52,28.0,3.41,35%,0.0,0%,0%,0.0
Lee Brousseau,5,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Marcus Buchecha,5,2,1,1.7,49.0,2.17,51%,2.0,16%,0%,0.0
Dennis Bryant,5,2,0,10.56,59.0,10.56,13%,0.0,0%,0%,0.0
Junie Browning,5,6,0,3.76,48.0,1.76,66%,3.53,66%,0%,3.5
Billy Brand,5,2,0,2.86,25.0,8.57,40%,0.0,0%,75%,0.0
Juliana Miller,5,4,0,2.65,39.0,4.14,44%,2.16,29%,44%,1.2
Chris Mierzwiak,5,3,0,1.6,61.0,1.73,48%,2.0,28%,0%,1.0
Blake Watkins,5,1,0,5.45,62.0,7.64,61%,0.0,0%,0%,0.0
Joshua Wang-Kim,5,2,0,2.95,40.0,4.43,60%,1.17,100%,66%,0.0
Luc Bondole,5,2,2,3.35,51.0,2.04,62%,0.0,0%,0%,1.8
Galore Bofando,5,3,0,3.63,45.0,3.63,54%,2.37,100%,50%,0.0
Darian Weeks,5,3,0,4.49,51.0,4.56,51%,2.0,30%,100%,0.0
Gregory Bouchelaghem,5,4,0,0.27,21.0,1.53,36%,0.0,0%,50%,0.0
Mike Glenn,5,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
David Smith,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Bob Gilstrap,5,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eric Steenberg,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Sherrard Blackledge,5,1,0,3.7,49.0,3.13,55%,4.0,33%,42%,0.0
Nicco Montano,5,3,0,5.6,41.0,4.43,64%,2.25,54%,69%,0.4
Pawel Nastula,5,6,0,1.3,43.0,1.73,50%,3.0,60%,0%,1.5
Lauren Mueller,5,3,0,4.08,41.0,3.77,58%,0.7,50%,71%,0.0
Kazunari Murakami,5,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Amaury Bitetti,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Anton Berzin,5,1,0,4.4,46.0,6.8,67%,2.0,28%,0%,1.0
Keith Berish,5,1,0,3.58,36.0,4.81,62%,1.76,40%,0%,0.0
Patrick Murphy,5,3,0,3.4,66.0,0.8,42%,0.0,0%,50%,1.0
Andrews Nakahara,5,4,2,2.68,44.0,1.9,57%,0.0,0%,72%,0.4
Ivan Gnizditskiy,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mark Hall,5,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Stoney Hale,5,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Kazuhiro Hamanaka,5,7,1,1.7,37.0,0.91,60%,0.0,0%,50%,0.0
Braxton Smith,5,2,0,6.46,48.0,11.54,32%,0.0,0%,100%,0.0
Josh Neal,5,11,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Soichi Nishida,5,10,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Guangyou Ning,5,4,1,2.66,41.0,1.91,61%,1.09,50%,62%,0.3
Stephen Banaszak,5,5,0,4.2,47.0,1.15,66%,0.0,0%,100%,1.9
Logan Woods,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Nick Nolte,5,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Amador Ramirez,5,4,0,4.93,51.0,2.07,69%,1.0,33%,0%,0.0
Steve Ramirez,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Salvador Becerra,5,2,0,4.57,31.0,3.83,58%,0.0,0%,66%,0.0
Alexander Otsuka,5,13,0,0.9,55.0,1.16,51%,1.51,43%,53%,0.8
Takahiro Oba,5,7,1,0.23,25.0,1.82,69%,0.0,0%,0%,0.0
Cristina Stanciu,5,2,0,2.5,50.0,3.07,52%,0.85,100%,40%,1.7
John Gunther,5,1,0,1.65,37.0,3.72,46%,7.08,42%,0%,0.0
Rainn Guerrero,5,2,0,0.65,33.0,0.87,50%,3.27,100%,0%,0.0
Joey Armstrong,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chris Avila,5,4,0,2.37,30.0,4.17,48%,0.0,0%,46%,0.0
Rubens Xavier,5,3,0,0.77,42.0,1.82,21%,2.1,40%,25%,1.1
Eric Wray,5,1,0,1.76,48.0,3.12,28%,4.07,66%,0%,2.0
Jorge Oliveira,5,3,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chibwikem Onyenegecha,5,0,0,5.6,55.0,3.4,52%,0.0,0%,100%,0.0
Shana Olsen,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Reza Arianto,5,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Shane Primm,5,5,0,0.83,26.0,2.25,62%,1.78,20%,0%,0.0
Kenichi Yamamoto,5,12,2,0.3,46.0,1.93,38%,0.0,0%,10%,0.3
Willie Parks,5,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Julius Anglickas,5,1,0,4.62,78.0,1.86,50%,4.47,50%,60%,1.1
Daniel Gracie,5,4,1,1.9,38.0,1.33,59%,0.36,100%,80%,2.1
Patryk Grabowski,5,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
