Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Jose Aldo,32,10,0,3.65,46.0,3.81,60%,0.47,51%,92%,0.1
Melvin Guillard,32,18,2,2.96,40.0,1.85,66%,1.3,63%,61%,0.2
Michel Pereira,32,14,0,4.46,51.0,4.4,51%,1.21,56%,75%,0.7
Kiyoshi Tamura,32,13,3,2.44,53.0,1.44,60%,0.58,60%,45%,0.2
Carlo Prater,31,18,1,2.03,47.0,4.07,35%,0.43,9%,57%,1.7
Chris Lytle,31,18,5,3.76,45.0,3.03,58%,0.7,55%,55%,2.4
Jesse Taylor,31,15,0,1.94,65.0,0.55,38%,7.28,50%,100%,3.1
Neil Magny,31,15,0,3.4,46.0,2.44,51%,2.17,39%,55%,0.3
Julian Erosa,31,13,0,6.21,48.0,6.27,48%,1.78,43%,61%,0.7
Diego Sanchez,31,13,0,2.69,37.0,3.02,56%,1.51,24%,46%,0.8
John Lineker,31,9,0,5.36,40.0,4.27,56%,0.56,58%,67%,0.6
Sean Loeffler,31,5,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jordan Mein,31,12,0,3.35,44.0,2.55,69%,1.56,58%,66%,0.2
Jake Ellenberger,31,15,0,2.47,39.0,2.83,60%,2.04,47%,86%,0.4
Nikita Krylov,31,11,0,4.36,54.0,2.59,47%,2.05,37%,53%,1.2
Jake Shields,31,9,1,2.45,36.0,1.8,56%,2.83,29%,35%,1.2
Santiago Ponzinibbio,31,9,0,4.78,41.0,4.68,61%,0.6,27%,71%,0.0
Tim Sylvia,31,10,0,4.23,41.0,2.61,61%,0.11,100%,75%,0.1
Donald Sanchez,31,17,0,0.58,50.0,1.16,55%,0.0,0%,50%,0.0
Sanae Kikuta,31,9,3,0.7,45.0,0.9,52%,1.6,63%,25%,1.8
Shunichi Shimizu,30,18,11,0.14,33.0,4.68,30%,0.0,0%,0%,0.0
Nik Lentz,30,12,2,3.44,47.0,3.25,50%,3.3,32%,43%,1.2
Matt Horwich,30,25,1,1.11,62.0,2.16,38%,0.33,9%,28%,2.7
